14:42:51 - Buffer: lvp | interpreted_ar: مرح | back_to_en: lvp
15:06:36 - Buffer: writi | interpreted_ar: صقهفه | back_to_en: writi
15:06:36 - Buffer: writin | interpreted_ar: صقهفهى | back_to_en: writin
15:06:36 - Buffer: writin | interpreted_ar: صقهفهى | back_to_en: writin
15:06:36 - Buffer: writin | interpreted_ar: صقهفهى | back_to_en: writin
15:06:36 - Buffer: writing | interpreted_ar: صقهفهىل | back_to_en: writing
15:06:36 - Buffer: writing | interpreted_ar: صقهفهىل | back_to_en: writing
15:06:37 - Buffer: pkb | interpreted_ar: حنلا | back_to_en: pkb
15:06:37 - TRIGGERED: Arabic in English mode
15:06:37 - TRIGGERED: Arabic in English mode (No English vowels detected)
15:06:41 - Buffer: fro | interpreted_ar: بقخ | back_to_en: fro
15:06:41 - Buffer: fro | interpreted_ar: بقخ | back_to_en: fro
15:06:41 - Buffer: fro | interpreted_ar: بقخ | back_to_en: fro
15:06:42 - Buffer: from | interpreted_ar: بقخة | back_to_en: from
15:06:42 - Buffer: from | interpreted_ar: بقخة | back_to_en: from
15:06:42 - Buffer: from | interpreted_ar: بقخة | back_to_en: from
15:06:42 - Buffer: che | interpreted_ar: ؤاث | back_to_en: che
15:06:42 - Buffer: che | interpreted_ar: ؤاث | back_to_en: che
15:06:42 - Buffer: che | interpreted_ar: ؤاث | back_to_en: che
15:06:42 - Buffer: che | interpreted_ar: ؤاث | back_to_en: che
15:06:43 - Buffer: chem | interpreted_ar: ؤاثة | back_to_en: chem
15:06:43 - Buffer: chem | interpreted_ar: ؤاثة | back_to_en: chem
15:06:43 - Buffer: chemi | interpreted_ar: ؤاثةه | back_to_en: chemi
15:06:43 - Buffer: chemi | interpreted_ar: ؤاثةه | back_to_en: chemi
15:06:43 - Buffer: chemi | interpreted_ar: ؤاثةه | back_to_en: chemi
15:06:43 - Buffer: chemis | interpreted_ar: ؤاثةهس | back_to_en: chemis
15:06:43 - Buffer: chemist | interpreted_ar: ؤاثةهسف | back_to_en: chemist
15:06:43 - Buffer: chemistr | interpreted_ar: ؤاثةهسفق | back_to_en: chemistr
15:06:43 - Buffer: chemistr | interpreted_ar: ؤاثةهسفق | back_to_en: chemistr
15:06:43 - Buffer: chemistr | interpreted_ar: ؤاثةهسفق | back_to_en: chemistr
15:06:44 - Buffer: chemistry | interpreted_ar: ؤاثةهسفقغ | back_to_en: chemistry
15:06:44 - Buffer: chemistry | interpreted_ar: ؤاثةهسفقغ | back_to_en: chemistry
15:06:44 - Buffer: and | interpreted_ar: شىي | back_to_en: and
15:06:46 - Buffer: bee | interpreted_ar: لاثث | back_to_en: bee
15:06:46 - Buffer: bee | interpreted_ar: لاثث | back_to_en: bee
15:06:46 - Buffer: bee | interpreted_ar: لاثث | back_to_en: bee
15:06:46 - Buffer: beep | interpreted_ar: لاثثح | back_to_en: beep
15:06:46 - Buffer: beep | interpreted_ar: لاثثح | back_to_en: beep
15:06:46 - Buffer: beepe | interpreted_ar: لاثثحث | back_to_en: beepe
15:06:46 - Buffer: beepe | interpreted_ar: لاثثحث | back_to_en: beepe
15:06:47 - Buffer: beeped | interpreted_ar: لاثثحثي | back_to_en: beeped
15:06:47 - Buffer: beeped | interpreted_ar: لاثثحثي | back_to_en: beeped
15:06:47 - Buffer: beeped | interpreted_ar: لاثثحثي | back_to_en: beeped
15:06:48 - Buffer: isn | interpreted_ar: هسى | back_to_en: isn
15:06:48 - Buffer: isnt | interpreted_ar: هسىف | back_to_en: isnt
15:06:48 - Buffer: isnt | interpreted_ar: هسىف | back_to_en: isnt
15:06:48 - Buffer: isnt | interpreted_ar: هسىف | back_to_en: isnt
15:06:48 - Buffer: the | interpreted_ar: فاث | back_to_en: the
15:06:48 - Buffer: the | interpreted_ar: فاث | back_to_en: the
15:06:48 - Buffer: the | interpreted_ar: فاث | back_to_en: the
15:06:48 - Buffer: the | interpreted_ar: فاث | back_to_en: the
15:06:48 - Buffer: ther | interpreted_ar: فاثق | back_to_en: ther
15:06:48 - Buffer: ther | interpreted_ar: فاثق | back_to_en: ther
15:06:48 - Buffer: ther | interpreted_ar: فاثق | back_to_en: ther
15:06:49 - Buffer: there | interpreted_ar: فاثقث | back_to_en: there
15:06:49 - Buffer: there | interpreted_ar: فاثقث | back_to_en: there
15:06:49 - Buffer: there | interpreted_ar: فاثقث | back_to_en: there
15:06:50 - Buffer: som | interpreted_ar: سخة | back_to_en: som
15:06:50 - Buffer: som | interpreted_ar: سخة | back_to_en: som
15:06:50 - Buffer: some | interpreted_ar: سخةث | back_to_en: some
15:06:50 - Buffer: oth | interpreted_ar: خفا | back_to_en: oth
15:06:50 - Buffer: othe | interpreted_ar: خفاث | back_to_en: othe
15:06:51 - Buffer: other | interpreted_ar: خفاثق | back_to_en: other
15:06:51 - Buffer: other | interpreted_ar: خفاثق | back_to_en: other
15:06:51 - Buffer: way | interpreted_ar: صشغ | back_to_en: way
15:06:53 - Buffer: mak | interpreted_ar: ةشن | back_to_en: mak
15:06:53 - Buffer: mak | interpreted_ar: ةشن | back_to_en: mak
15:06:53 - Buffer: make | interpreted_ar: ةشنث | back_to_en: make
15:06:53 - Buffer: make | interpreted_ar: ةشنث | back_to_en: make
15:06:54 - Buffer: him | interpreted_ar: اهة | back_to_en: him
15:06:55 - Buffer: ana | interpreted_ar: شىش | back_to_en: ana
15:06:55 - Buffer: ana | interpreted_ar: شىش | back_to_en: ana
15:06:55 - Buffer: ana | interpreted_ar: شىش | back_to_en: ana
15:06:55 - Buffer: anal | interpreted_ar: شىشم | back_to_en: anal
15:06:55 - Buffer: anal | interpreted_ar: شىشم | back_to_en: anal
15:06:56 - Buffer: analy | interpreted_ar: شىشمغ | back_to_en: analy
15:06:56 - Buffer: analys | interpreted_ar: شىشمغس | back_to_en: analys
15:06:56 - Buffer: analys | interpreted_ar: شىشمغس | back_to_en: analys
15:06:56 - Buffer: analys | interpreted_ar: شىشمغس | back_to_en: analys
15:06:56 - Buffer: analyse | interpreted_ar: شىشمغسث | back_to_en: analyse
15:06:56 - Buffer: analyse | interpreted_ar: شىشمغسث | back_to_en: analyse
15:06:56 - Buffer: analyse | interpreted_ar: شىشمغسث | back_to_en: analyse
15:06:56 - Buffer: sma | interpreted_ar: سةش | back_to_en: sma
15:06:56 - Buffer: sma | interpreted_ar: سةش | back_to_en: sma
15:06:56 - Buffer: sma | interpreted_ar: سةش | back_to_en: sma
15:06:57 - Buffer: smar | interpreted_ar: سةشق | back_to_en: smar
15:06:57 - Buffer: smar | interpreted_ar: سةشق | back_to_en: smar
15:06:57 - Buffer: smar | interpreted_ar: سةشق | back_to_en: smar
15:06:57 - Buffer: smar | interpreted_ar: سةشق | back_to_en: smar
15:06:57 - Buffer: smart | interpreted_ar: سةشقف | back_to_en: smart
15:06:57 - Buffer: smart | interpreted_ar: سةشقف | back_to_en: smart
15:06:57 - Buffer: smart | interpreted_ar: سةشقف | back_to_en: smart
15:06:57 - Buffer: smarte | interpreted_ar: سةشقفث | back_to_en: smarte
15:06:57 - Buffer: smarte | interpreted_ar: سةشقفث | back_to_en: smarte
15:06:57 - Buffer: smarte | interpreted_ar: سةشقفث | back_to_en: smarte
15:06:57 - Buffer: smarter | interpreted_ar: سةشقفثق | back_to_en: smarter
15:06:57 - Buffer: smarter | interpreted_ar: سةشقفثق | back_to_en: smarter
15:06:59 - Buffer: rat | interpreted_ar: قشف | back_to_en: rat
15:06:59 - Buffer: rath | interpreted_ar: قشفا | back_to_en: rath
15:06:59 - Buffer: rathe | interpreted_ar: قشفاث | back_to_en: rathe
15:06:59 - Buffer: rathe | interpreted_ar: قشفاث | back_to_en: rathe
15:06:59 - Buffer: rather | interpreted_ar: قشفاثق | back_to_en: rather
15:06:59 - Buffer: rather | interpreted_ar: قشفاثق | back_to_en: rather
15:06:59 - Buffer: rather | interpreted_ar: قشفاثق | back_to_en: rather
15:06:59 - Buffer: rather | interpreted_ar: قشفاثق | back_to_en: rather
15:07:00 - Buffer: tha | interpreted_ar: فاش | back_to_en: tha
15:07:00 - Buffer: tha | interpreted_ar: فاش | back_to_en: tha
15:07:00 - Buffer: tha | interpreted_ar: فاش | back_to_en: tha
15:07:00 - Buffer: than | interpreted_ar: فاشى | back_to_en: than
15:07:00 - Buffer: than | interpreted_ar: فاشى | back_to_en: than
15:07:00 - Buffer: than | interpreted_ar: فاشى | back_to_en: than
15:07:00 - Buffer: than | interpreted_ar: فاشى | back_to_en: than
15:07:01 - Buffer: sim | interpreted_ar: سهة | back_to_en: sim
15:07:01 - Buffer: sim | interpreted_ar: سهة | back_to_en: sim
15:07:01 - Buffer: sim | interpreted_ar: سهة | back_to_en: sim
15:07:02 - Buffer: simp | interpreted_ar: سهةح | back_to_en: simp
15:07:02 - Buffer: simpl | interpreted_ar: سهةحم | back_to_en: simpl
15:07:02 - Buffer: simpl | interpreted_ar: سهةحم | back_to_en: simpl
15:07:02 - Buffer: simpl | interpreted_ar: سهةحم | back_to_en: simpl
15:07:02 - Buffer: simple | interpreted_ar: سهةحمث | back_to_en: simple
15:07:02 - Buffer: simple | interpreted_ar: سهةحمث | back_to_en: simple
15:07:03 - Buffer: rul | interpreted_ar: قعم | back_to_en: rul
15:07:03 - Buffer: rul | interpreted_ar: قعم | back_to_en: rul
15:07:03 - Buffer: rul | interpreted_ar: قعم | back_to_en: rul
15:07:03 - Buffer: rule | interpreted_ar: قعمث | back_to_en: rule
15:07:03 - Buffer: rule | interpreted_ar: قعمث | back_to_en: rule
15:07:04 - Buffer: rules | interpreted_ar: قعمثس | back_to_en: rules
15:07:04 - Buffer: rules | interpreted_ar: قعمثس | back_to_en: rules
15:07:04 - Buffer: rules | interpreted_ar: قعمثس | back_to_en: rules
15:07:04 - Buffer: rules | interpreted_ar: قعمثس | back_to_en: rules
15:10:55 - Buffer: hoe | interpreted_ar: اخث | back_to_en: hoe
15:10:55 - Buffer: hoe | interpreted_ar: اخث | back_to_en: hoe
15:10:58 - Buffer: fin | interpreted_ar: بهى | back_to_en: fin
15:10:58 - Buffer: find | interpreted_ar: بهىي | back_to_en: find
15:10:58 - Buffer: find | interpreted_ar: بهىي | back_to_en: find
15:10:59 - Buffer: ksp | interpreted_ar: نسح | back_to_en: ksp
15:10:59 - TRIGGERED: Arabic in English mode
15:10:59 - TRIGGERED: Arabic in English mode (No English vowels detected)
15:13:47 - Buffer: cal | interpreted_ar: ؤشم | back_to_en: cal
15:13:47 - Buffer: calc | interpreted_ar: ؤشمؤ | back_to_en: calc
15:13:47 - Buffer: calc | interpreted_ar: ؤشمؤ | back_to_en: calc
15:13:47 - Buffer: calci | interpreted_ar: ؤشمؤه | back_to_en: calci
15:13:47 - Buffer: calci | interpreted_ar: ؤشمؤه | back_to_en: calci
15:13:47 - Buffer: calci | interpreted_ar: ؤشمؤه | back_to_en: calci
15:13:47 - Buffer: calciu | interpreted_ar: ؤشمؤهع | back_to_en: calciu
15:13:47 - Buffer: calciu | interpreted_ar: ؤشمؤهع | back_to_en: calciu
15:13:47 - Buffer: calciu | interpreted_ar: ؤشمؤهع | back_to_en: calciu
15:13:48 - Buffer: calcium | interpreted_ar: ؤشمؤهعة | back_to_en: calcium
15:18:10 - Buffer: ksp | interpreted_ar: نسح | back_to_en: ksp
15:18:10 - TRIGGERED: Arabic in English mode
15:18:10 - TRIGGERED: Arabic in English mode (No English vowels detected)
15:19:01 - Buffer: was | interpreted_ar: صشس | back_to_en: was
15:19:01 - Buffer: was | interpreted_ar: صشس | back_to_en: was
15:19:01 - Buffer: was | interpreted_ar: صشس | back_to_en: was
15:19:02 - Buffer: wri | interpreted_ar: صقه | back_to_en: wri
15:19:02 - Buffer: writ | interpreted_ar: صقهف | back_to_en: writ
15:19:02 - Buffer: writ | interpreted_ar: صقهف | back_to_en: writ
15:19:02 - Buffer: writ | interpreted_ar: صقهف | back_to_en: writ
15:19:02 - Buffer: writi | interpreted_ar: صقهفه | back_to_en: writi
15:19:02 - Buffer: writi | interpreted_ar: صقهفه | back_to_en: writi
15:19:02 - Buffer: writi | interpreted_ar: صقهفه | back_to_en: writi
15:19:02 - Buffer: writin | interpreted_ar: صقهفهى | back_to_en: writin
15:19:02 - Buffer: writing | interpreted_ar: صقهفهىل | back_to_en: writing
15:19:02 - Buffer: writing | interpreted_ar: صقهفهىل | back_to_en: writing
15:19:02 - Buffer: writing | interpreted_ar: صقهفهىل | back_to_en: writing
15:19:02 - Buffer: writing | interpreted_ar: صقهفهىل | back_to_en: writing
15:19:04 - Buffer: sir | interpreted_ar: سهق | back_to_en: sir
15:19:05 - Buffer: pet | interpreted_ar: حثف | back_to_en: pet
15:19:05 - Buffer: pet | interpreted_ar: حثف | back_to_en: pet
15:19:05 - Buffer: pete | interpreted_ar: حثفث | back_to_en: pete
15:19:05 - Buffer: pete | interpreted_ar: حثفث | back_to_en: pete
15:19:05 - Buffer: pete | interpreted_ar: حثفث | back_to_en: pete
15:19:05 - Buffer: peter | interpreted_ar: حثفثق | back_to_en: peter
15:19:06 - Buffer: peters | interpreted_ar: حثفثقس | back_to_en: peters
15:19:06 - Buffer: peters | interpreted_ar: حثفثقس | back_to_en: peters
15:19:06 - Buffer: peterso | interpreted_ar: حثفثقسخ | back_to_en: peterso
15:19:06 - Buffer: peterson | interpreted_ar: حثفثقسخى | back_to_en: peterson
15:19:06 - Buffer: peterson | interpreted_ar: حثفثقسخى | back_to_en: peterson
15:19:08 - Buffer: abo | interpreted_ar: شلاخ | back_to_en: abo
15:19:08 - Buffer: abo | interpreted_ar: شلاخ | back_to_en: abo
15:19:08 - Buffer: abou | interpreted_ar: شلاخع | back_to_en: abou
15:19:08 - Buffer: abou | interpreted_ar: شلاخع | back_to_en: abou
15:19:08 - Buffer: abou | interpreted_ar: شلاخع | back_to_en: abou
15:19:09 - Buffer: about | interpreted_ar: شلاخعف | back_to_en: about
15:19:09 - Buffer: about | interpreted_ar: شلاخعف | back_to_en: about
15:19:09 - Buffer: gal | interpreted_ar: لشم | back_to_en: gal
15:19:09 - Buffer: gal | interpreted_ar: لشم | back_to_en: gal
15:19:09 - Buffer: gal | interpreted_ar: لشم | back_to_en: gal
15:19:10 - Buffer: gala | interpreted_ar: لشمش | back_to_en: gala
15:19:10 - Buffer: gala | interpreted_ar: لشمش | back_to_en: gala
15:19:10 - Buffer: gala | interpreted_ar: لشمش | back_to_en: gala
15:19:10 - Buffer: galac | interpreted_ar: لشمشؤ | back_to_en: galac
15:19:10 - Buffer: galac | interpreted_ar: لشمشؤ | back_to_en: galac
15:19:10 - Buffer: galac | interpreted_ar: لشمشؤ | back_to_en: galac
15:19:10 - Buffer: galact | interpreted_ar: لشمشؤف | back_to_en: galact
15:19:10 - Buffer: galact | interpreted_ar: لشمشؤف | back_to_en: galact
15:19:10 - Buffer: galact | interpreted_ar: لشمشؤف | back_to_en: galact
15:19:10 - Buffer: galacti | interpreted_ar: لشمشؤفه | back_to_en: galacti
15:19:10 - Buffer: galacti | interpreted_ar: لشمشؤفه | back_to_en: galacti
15:19:10 - Buffer: galacti | interpreted_ar: لشمشؤفه | back_to_en: galacti
15:19:10 - Buffer: galacti | interpreted_ar: لشمشؤفه | back_to_en: galacti
15:19:11 - Buffer: galactic | interpreted_ar: لشمشؤفهؤ | back_to_en: galactic
15:19:11 - Buffer: galactic | interpreted_ar: لشمشؤفهؤ | back_to_en: galactic
15:19:11 - Buffer: galactic | interpreted_ar: لشمشؤفهؤ | back_to_en: galactic
15:19:13 - Buffer: act | interpreted_ar: شؤف | back_to_en: act
15:19:13 - Buffer: act | interpreted_ar: شؤف | back_to_en: act
15:19:13 - Buffer: act | interpreted_ar: شؤف | back_to_en: act
15:19:13 - Buffer: acti | interpreted_ar: شؤفه | back_to_en: acti
15:19:13 - Buffer: acti | interpreted_ar: شؤفه | back_to_en: acti
15:19:13 - Buffer: acti | interpreted_ar: شؤفه | back_to_en: acti
15:19:13 - Buffer: actio | interpreted_ar: شؤفهخ | back_to_en: actio
15:19:13 - Buffer: actio | interpreted_ar: شؤفهخ | back_to_en: actio
15:19:13 - Buffer: action | interpreted_ar: شؤفهخى | back_to_en: action
15:19:13 - Buffer: action | interpreted_ar: شؤفهخى | back_to_en: action
15:19:13 - Buffer: action | interpreted_ar: شؤفهخى | back_to_en: action
15:20:32 - Buffer: cal | interpreted_ar: ؤشم | back_to_en: cal
15:20:32 - Buffer: cal | interpreted_ar: ؤشم | back_to_en: cal
15:20:32 - Buffer: cal | interpreted_ar: ؤشم | back_to_en: cal
15:20:32 - Buffer: calc | interpreted_ar: ؤشمؤ | back_to_en: calc
15:20:33 - Buffer: calcu | interpreted_ar: ؤشمؤع | back_to_en: calcu
15:20:33 - Buffer: calcu | interpreted_ar: ؤشمؤع | back_to_en: calcu
15:20:33 - Buffer: calcu | interpreted_ar: ؤشمؤع | back_to_en: calcu
15:20:33 - Buffer: calcul | interpreted_ar: ؤشمؤعم | back_to_en: calcul
15:20:33 - Buffer: calcul | interpreted_ar: ؤشمؤعم | back_to_en: calcul
15:20:33 - Buffer: calcula | interpreted_ar: ؤشمؤعمش | back_to_en: calcula
15:20:33 - Buffer: calcula | interpreted_ar: ؤشمؤعمش | back_to_en: calcula
15:20:33 - Buffer: calcula | interpreted_ar: ؤشمؤعمش | back_to_en: calcula
15:20:34 - Buffer: calculat | interpreted_ar: ؤشمؤعمشف | back_to_en: calculat
15:20:34 - Buffer: calculat | interpreted_ar: ؤشمؤعمشف | back_to_en: calculat
15:20:34 - Buffer: calculati | interpreted_ar: ؤشمؤعمشفه | back_to_en: calculati
15:20:34 - Buffer: calculati | interpreted_ar: ؤشمؤعمشفه | back_to_en: calculati
15:20:34 - Buffer: calculati | interpreted_ar: ؤشمؤعمشفه | back_to_en: calculati
15:20:34 - Buffer: calculatin | interpreted_ar: ؤشمؤعمشفهى | back_to_en: calculatin
15:20:34 - Buffer: calculating | interpreted_ar: ؤشمؤعمشفهىل | back_to_en: calculating
15:20:34 - Buffer: calculating | interpreted_ar: ؤشمؤعمشفهىل | back_to_en: calculating
15:23:30 - Buffer: and | interpreted_ar: شىي | back_to_en: and
15:23:30 - Buffer: and | interpreted_ar: شىي | back_to_en: and
15:23:30 - Buffer: and | interpreted_ar: شىي | back_to_en: and
15:23:32 - Buffer: met | interpreted_ar: ةثف | back_to_en: met
15:23:32 - Buffer: meth | interpreted_ar: ةثفا | back_to_en: meth
15:23:32 - Buffer: meth | interpreted_ar: ةثفا | back_to_en: meth
15:23:32 - Buffer: metha | interpreted_ar: ةثفاش | back_to_en: metha
15:23:32 - Buffer: metha | interpreted_ar: ةثفاش | back_to_en: metha
15:23:32 - Buffer: methan | interpreted_ar: ةثفاشى | back_to_en: methan
15:23:32 - Buffer: methan | interpreted_ar: ةثفاشى | back_to_en: methan
15:23:32 - Buffer: methan | interpreted_ar: ةثفاشى | back_to_en: methan
15:23:35 - Buffer: com | interpreted_ar: ؤخة | back_to_en: com
15:23:37 - Buffer: bus | interpreted_ar: لاعس | back_to_en: bus
15:23:37 - Buffer: busi | interpreted_ar: لاعسه | back_to_en: busi
15:23:37 - Buffer: busi | interpreted_ar: لاعسه | back_to_en: busi
15:23:37 - Buffer: busio | interpreted_ar: لاعسهخ | back_to_en: busio
15:23:38 - Buffer: busion | interpreted_ar: لاعسهخى | back_to_en: busion
15:23:38 - Buffer: busion | interpreted_ar: لاعسهخى | back_to_en: busion
15:26:07 - Buffer: tab | interpreted_ar: فشلا | back_to_en: tab
15:26:07 - Buffer: tab | interpreted_ar: فشلا | back_to_en: tab
15:26:07 - Buffer: tabl | interpreted_ar: فشلام | back_to_en: tabl
15:26:07 - Buffer: table | interpreted_ar: فشلامث | back_to_en: table
15:26:07 - Buffer: table | interpreted_ar: فشلامث | back_to_en: table
15:26:07 - Buffer: table | interpreted_ar: فشلامث | back_to_en: table
15:31:09 - Buffer: spo | interpreted_ar: سحخ | back_to_en: spo
15:31:09 - Buffer: spon | interpreted_ar: سحخى | back_to_en: spon
15:31:09 - Buffer: spon | interpreted_ar: سحخى | back_to_en: spon
15:31:09 - Buffer: spon | interpreted_ar: سحخى | back_to_en: spon
15:31:10 - Buffer: spont | interpreted_ar: سحخىف | back_to_en: spont
15:31:10 - Buffer: spont | interpreted_ar: سحخىف | back_to_en: spont
15:36:35 - Buffer: hey | interpreted_ar: اثغ | back_to_en: hey
15:36:35 - Buffer: hey | interpreted_ar: اثغ | back_to_en: hey
15:36:38 - Buffer: was | interpreted_ar: صشس | back_to_en: was
15:36:39 - Buffer: thi | interpreted_ar: فاه | back_to_en: thi
15:36:39 - Buffer: thi | interpreted_ar: فاه | back_to_en: thi
15:36:39 - Buffer: thi | interpreted_ar: فاه | back_to_en: thi
15:36:39 - Buffer: thi | interpreted_ar: فاه | back_to_en: thi
15:36:39 - Buffer: thin | interpreted_ar: فاهى | back_to_en: thin
15:36:39 - Buffer: thin | interpreted_ar: فاهى | back_to_en: thin
15:36:39 - Buffer: thin | interpreted_ar: فاهى | back_to_en: thin
15:36:39 - Buffer: think | interpreted_ar: فاهىن | back_to_en: think
15:36:39 - Buffer: think | interpreted_ar: فاهىن | back_to_en: think
15:36:43 - Buffer: hsh | interpreted_ar: اسا | back_to_en: hsh
15:36:43 - Buffer: hsh | interpreted_ar: اسا | back_to_en: hsh
15:36:43 - Buffer: hsh | interpreted_ar: اسا | back_to_en: hsh
15:36:43 - TRIGGERED: Arabic in English mode
15:36:43 - TRIGGERED: Arabic in English mode (No English vowels detected)
15:36:43 - Buffer: hshs | interpreted_ar: اساس | back_to_en: hshs
15:36:43 - Buffer: shh | interpreted_ar: ساا | back_to_en: shh
15:36:43 - TRIGGERED: Arabic in English mode (No English vowels detected)
15:36:43 - TRIGGERED: Arabic in English mode
15:36:44 - Buffer: hhs | interpreted_ar: ااس | back_to_en: hhs
15:36:44 - Buffer: hhsh | interpreted_ar: ااسا | back_to_en: hhsh
15:36:44 - Buffer: hhsh | interpreted_ar: ااسا | back_to_en: hhsh
15:36:44 - Buffer: shs | interpreted_ar: ساس | back_to_en: shs
15:36:44 - TRIGGERED: Arabic in English mode (No English vowels detected)
15:36:44 - TRIGGERED: Arabic in English mode
15:36:52 - Buffer: son | interpreted_ar: سخى | back_to_en: son
15:36:54 - Buffer: her | interpreted_ar: اثق | back_to_en: her
15:36:54 - Buffer: her | interpreted_ar: اثق | back_to_en: her
15:36:54 - Buffer: her | interpreted_ar: اثق | back_to_en: her
15:36:54 - Buffer: here | interpreted_ar: اثقث | back_to_en: here
15:36:54 - Buffer: here | interpreted_ar: اثقث | back_to_en: here
15:36:56 - Buffer: tel | interpreted_ar: فثم | back_to_en: tel
15:36:56 - Buffer: tell | interpreted_ar: فثمم | back_to_en: tell
15:37:01 - Buffer: the | interpreted_ar: فاث | back_to_en: the
15:37:01 - Buffer: the | interpreted_ar: فاث | back_to_en: the
15:37:01 - Buffer: ther | interpreted_ar: فاثق | back_to_en: ther
15:37:01 - Buffer: ther | interpreted_ar: فاثق | back_to_en: ther
15:37:01 - Buffer: ther | interpreted_ar: فاثق | back_to_en: ther
15:37:01 - Buffer: ther | interpreted_ar: فاثق | back_to_en: ther
15:37:01 - Buffer: there | interpreted_ar: فاثقث | back_to_en: there
15:37:02 - Buffer: alw | interpreted_ar: شمص | back_to_en: alw
15:37:02 - Buffer: alwa | interpreted_ar: شمصش | back_to_en: alwa
15:37:03 - Buffer: alwas | interpreted_ar: شمصشس | back_to_en: alwas
15:37:03 - Buffer: alwas | interpreted_ar: شمصشس | back_to_en: alwas
15:37:03 - Buffer: alwas | interpreted_ar: شمصشس | back_to_en: alwas
15:37:03 - Buffer: alwasu | interpreted_ar: شمصشسع | back_to_en: alwasu
15:37:03 - Buffer: alwasu | interpreted_ar: شمصشسع | back_to_en: alwasu
15:37:03 - Buffer: alwasus | interpreted_ar: شمصشسعس | back_to_en: alwasus
15:37:03 - Buffer: alwasus | interpreted_ar: شمصشسعس | back_to_en: alwasus
15:37:03 - Buffer: alwasus | interpreted_ar: شمصشسعس | back_to_en: alwasus
15:37:11 - Buffer: hgp | interpreted_ar: الح | back_to_en: hgp
15:37:11 - Buffer: hgp | interpreted_ar: الح | back_to_en: hgp
15:37:11 - TRIGGERED: Arabic in English mode
15:37:11 - TRIGGERED: Arabic in English mode (No English vowels detected)
15:37:17 - Buffer: hgs | interpreted_ar: الس | back_to_en: hgs
15:37:17 - TRIGGERED: Arabic in English mode (No English vowels detected)
15:37:17 - TRIGGERED: Arabic in English mode
15:37:17 - Buffer: hgsg | interpreted_ar: السل | back_to_en: hgsg
15:37:17 - Buffer: hgsg | interpreted_ar: السل | back_to_en: hgsg
15:37:22 - Buffer: ksp | interpreted_ar: نسح | back_to_en: ksp
15:37:22 - Buffer: ksp | interpreted_ar: نسح | back_to_en: ksp
15:37:22 - Buffer: ksp | interpreted_ar: نسح | back_to_en: ksp
15:37:22 - TRIGGERED: Arabic in English mode
15:37:22 - TRIGGERED: Arabic in English mode (No English vowels detected)
15:37:27 - Buffer: baa | interpreted_ar: لاشش | back_to_en: baa
15:37:27 - Buffer: baad | interpreted_ar: لاششي | back_to_en: baad
15:37:27 - Buffer: baad | interpreted_ar: لاششي | back_to_en: baad
15:37:33 - Buffer: hgp | interpreted_ar: الح | back_to_en: hgp
15:37:33 - Buffer: hgp | interpreted_ar: الح | back_to_en: hgp
15:37:33 - Buffer: hgp | interpreted_ar: الح | back_to_en: hgp
15:37:33 - TRIGGERED: Arabic in English mode
15:37:33 - TRIGGERED: Arabic in English mode (No English vowels detected)
15:37:34 - Buffer: hgpf | interpreted_ar: الحب | back_to_en: hgpf
15:37:49 - Buffer: pee | interpreted_ar: حثث | back_to_en: pee
15:37:49 - Buffer: pee | interpreted_ar: حثث | back_to_en: pee
15:37:49 - Buffer: pee | interpreted_ar: حثث | back_to_en: pee
15:37:50 - Buffer: peep | interpreted_ar: حثثح | back_to_en: peep
15:37:50 - Buffer: peep | interpreted_ar: حثثح | back_to_en: peep
15:37:50 - Buffer: peep | interpreted_ar: حثثح | back_to_en: peep
15:37:50 - Buffer: peep | interpreted_ar: حثثح | back_to_en: peep
15:37:50 - Buffer: peeps | interpreted_ar: حثثحس | back_to_en: peeps
15:37:50 - Buffer: peeps | interpreted_ar: حثثحس | back_to_en: peeps
15:37:50 - Buffer: peeps | interpreted_ar: حثثحس | back_to_en: peeps
15:37:51 - Buffer: man | interpreted_ar: ةشى | back_to_en: man
15:37:51 - Buffer: man | interpreted_ar: ةشى | back_to_en: man
15:37:51 - Buffer: man | interpreted_ar: ةشى | back_to_en: man
15:37:51 - Buffer: man | interpreted_ar: ةشى | back_to_en: man
15:37:51 - Buffer: many | interpreted_ar: ةشىغ | back_to_en: many
15:37:51 - Buffer: many | interpreted_ar: ةشىغ | back_to_en: many
15:37:51 - Buffer: many | interpreted_ar: ةشىغ | back_to_en: many
15:37:52 - Buffer: tim | interpreted_ar: فهة | back_to_en: tim
15:37:52 - Buffer: tim | interpreted_ar: فهة | back_to_en: tim
15:37:52 - Buffer: time | interpreted_ar: فهةث | back_to_en: time
15:37:53 - Buffer: times | interpreted_ar: فهةثس | back_to_en: times
15:37:53 - Buffer: whe | interpreted_ar: صاث | back_to_en: whe
15:37:53 - Buffer: whe | interpreted_ar: صاث | back_to_en: whe
15:37:53 - Buffer: when | interpreted_ar: صاثى | back_to_en: when
15:37:55 - Buffer: mis | interpreted_ar: ةهس | back_to_en: mis
15:37:55 - Buffer: mist | interpreted_ar: ةهسف | back_to_en: mist
15:37:55 - Buffer: mista | interpreted_ar: ةهسفش | back_to_en: mista
15:37:55 - Buffer: mista | interpreted_ar: ةهسفش | back_to_en: mista
15:37:55 - Buffer: mistak | interpreted_ar: ةهسفشن | back_to_en: mistak
